trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.003, 'e': 1.0}",25,0,-89.90660938032204,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
2,False,"{'a': 0.003, 'e': 0.997004495503373}",20,1,-52.76229146484503,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.003, 'e': 0.9940179640539353}",20,0,-175.9462008542241,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.003, 'e': 0.9910403787728836}",25,0,-40.56743754077758,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.003, 'e': 0.9880717128619305}",25,0,-158.55517508193662,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.003, 'e': 0.9851119396030626}",20,0,-154.5495821183835,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.003, 'e': 0.9821610323583008}",20,0,-79.35088762511276,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.003, 'e': 0.9792189645694596}",20,0,-136.9031546616831,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.003, 'e': 0.9762857097579093}",25,0,-180.27261236122368,"{0: 11, 1: 8, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.003, 'e': 0.9733612415243368}",30,0,-78.64366256042771,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.003, 'e': 0.9704455335485082}",25,0,-149.82576199092193,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.003, 'e': 0.967538559589032}",25,0,-84.28203400779336,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.003, 'e': 0.9646402934831231}",25,0,-232.7934550763722,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 3}",0
14,False,"{'a': 0.003, 'e': 0.9617507091463667}",30,0,-125.10147597579133,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
15,False,"{'a': 0.003, 'e': 0.9588697805724845}",25,0,-57.991985520261196,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.003, 'e': 0.9559974818331}",20,0,-41.03034012182783,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.003, 'e': 0.9531337870775047}",25,0,-127.82804330280862,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.003, 'e': 0.950278670532427}",25,0,-124.11908174043414,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.003, 'e': 0.9474321065017983}",20,0,-96.98647295435545,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.003, 'e': 0.9445940693665233}",25,0,-149.59373822053595,"{0: 9, 1: 6, 2: 9, 3: 0, 4: 1}",0
21,False,"{'a': 0.003, 'e': 0.9417645335842487}",20,0,-45.317465070594615,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.003, 'e': 0.9389434736891332}",30,10,-53.33806689924603,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
23,False,"{'a': 0.003, 'e': 0.9361308642916188}",20,6,-77.391506255247,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
24,False,"{'a': 0.003, 'e': 0.933326680078202}",20,0,-104.07864250260317,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.003, 'e': 0.9305308958112057}",20,11,-66.42420011245629,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.003, 'e': 0.9277434863285529}",25,0,-148.96565129789988,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
27,False,"{'a': 0.003, 'e': 0.9249644265435393}",25,0,-140.99353000127007,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
28,False,"{'a': 0.003, 'e': 0.922193691444608}",25,0,-60.855530089002634,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.003, 'e': 0.9194312560951247}",25,11,-30.36346359107511,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
30,False,"{'a': 0.003, 'e': 0.9166770956331523}",20,0,-136.37119559405983,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.003, 'e': 0.9139311852712282}",20,0,-136.02296988287378,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
