trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.177710670105796,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.44361602370137,"{0: 12, 1: 3, 2: 7, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.22800260805432,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.2165674923653,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,12,-28.94716800200878,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-118.98786582802266,"{0: 21, 1: 5, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.402303692285,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.42729127468465,"{0: 8, 1: 3, 2: 9, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.07366891232738,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.00721922997159,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-198.65147527326272,"{0: 17, 1: 5, 2: 9, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.7255932780949,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.85595526207851,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.82604172874403,"{0: 6, 1: 3, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.13605561618954,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.92780765467742,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.44486619771189,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.23656680643576,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.25026783973317,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.59875816996701,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-148.7786276119198,"{0: 23, 1: 2, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.02544210282157,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.36953569927559,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.95237974315882,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.00926078346157,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,4,-143.66740430898253,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.31212721357736,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.66297322157426,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,2,-189.29352049149136,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 3}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.67811924439471,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
